1751501629,1287,57,2980,92,5710
1751505168,1457,55,2918,87,5643
1751508707,1630,58,2855,77,5694
1751512247,1605,60,2702,74,5403
1751515786,1473,50,2509,78,5064
1751519326,1536,57,2268,79,4749
1751522865,1114,42,1612,62,4641
1751526404,1573,52,1993,80,4543
1751529944,1496,51,1835,80,4500
1751533483,1530,51,1962,86,4613
1751537023,1504,59,2086,76,4945
1751540562,1684,65,2270,79,5333
1751544101,1691,61,2535,85,5642
1751547641,2148,67,2710,82,6158
1751551180,2434,64,3044,89,6890
1751554720,2516,69,3254,94,7174
1751558259,2255,69,3472,92,7220
1751561799,2042,70,3391,95,6862
1751565338,1998,68,4057,95,7297
1751568877,1872,75,4129,98,7419
1751572417,1779,75,4354,97,7400
1751575956,1696,73,4232,92,7217
