1721952018,1696,67,1261,36,3598
1721953818,1719,64,1107,38,3438
1721955618,1756,65,1157,43,0
1721957418,1804,69,1149,39,3519
1721959218,1844,67,1139,37,3516
1721961018,1841,64,1077,35,3504
1721962818,1840,67,1098,35,3498
1721964618,1881,70,1067,39,3435
1721966417,1866,67,1046,37,0
1721968217,1832,69,994,37,3310
1721970017,1838,64,962,37,3238
1721971817,1839,68,905,34,3155
1721973617,1831,67,882,36,3103
1721975417,1843,65,861,28,3106
1721977217,1820,66,879,27,3152
1721979017,1888,63,880,27,3179
1721980817,1952,63,851,29,3196
