1722124812,1713,65,1472,38,3794
1722126612,1699,66,1197,39,3547
1722128412,1730,64,1268,41,3619
1722130211,1820,60,1268,39,3688
1722132011,1879,65,1226,41,3750
1722133811,1921,67,1197,35,3726
1722135611,2010,70,1213,36,3840
1722137411,2044,64,1192,38,3779
1722139211,1984,63,1209,35,3763
1722141011,2051,61,1181,39,3774
1722142811,2110,64,1165,37,3773
1722144611,2147,65,1102,33,3738
1722146411,2175,62,1112,32,3703
1722148211,2168,66,1059,35,3679
1722150011,2221,62,991,35,3674
1722151811,2268,66,1006,34,3743
