1757378222,1341,53,2301,69,5701
1757381761,1379,55,2802,67,6010
1757385301,1368,52,2641,64,5667
1757388840,1266,52,2449,64,5331
1757392380,1262,52,2156,61,4990
1757395919,1321,51,1856,60,4681
1757399459,1281,48,1797,66,4572
1757402998,1280,48,1676,70,4566
1757406537,1336,49,1509,70,4620
1757410077,1373,48,1982,83,5054
1757413616,1540,50,2044,78,5472
1757417156,1682,55,2335,79,6039
1757420695,2043,55,2586,77,6869
1757424235,2333,60,2980,77,7561
1757427774,2312,66,3256,84,7832
1757431313,2147,68,3276,88,7749
1757434853,1943,66,3140,84,7627
1757438392,1852,70,3848,94,7973
1757441932,1721,58,4045,93,8037
1757445471,1777,60,4148,90,8057
1757449010,1647,65,4029,92,7631
